,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,item,condition,sentence,target,alternative,model correct (max),model correct (sample),target score,alternative score,model 0 correct (max),model 0 correct (sample),model 0 target score,model 0 alternative score,model 1 correct (max),model 1 correct (sample),model 1 target score,model 1 alternative score,model 2 correct (max),model 2 correct (sample),model 2 target score,model 2 alternative score,model 3 correct (max),model 3 correct (sample),model 3 target score,model 3 alternative score,model 4 correct (max),model 4 correct (sample),model 4 target score,model 4 alternative score,lstm 0 correct (max),lstm 0 correct (sample),lstm 0 target score,lstm 0 alternative score,lstm 1 correct (max),lstm 1 correct (sample),lstm 1 target score,lstm 1 alternative score,lstm 2 correct (max),lstm 2 correct (sample),lstm 2 target score,lstm 2 alternative score,lstm 3 correct (max),lstm 3 correct (sample),lstm 3 target score,lstm 3 alternative score,lstm 4 correct (max),lstm 4 correct (sample),lstm 4 target score,lstm 4 alternative score,rnng 0 target score,rnng 0 alternative score,rnng 0 correct (max),rnng 0 correct (sample),rnng 1 target score,rnng 1 alternative score,rnng 1 correct (max),rnng 1 correct (sample),rnng 2 target score,rnng 2 alternative score,rnng 2 correct (max),rnng 2 correct (sample),rnng 3 target score,rnng 3 alternative score,rnng 3 correct (max),rnng 3 correct (sample),rnng 4 target score,rnng 4 alternative score,rnng 4 correct (max),rnng 4 correct (sample)
0,0,0,0,HaskellMacDonald_0_SP,SP,Can you ask Brenda if the girl or the boys,are,is,100,99.32918394349336,-1.9314537048339844,-6.9291534423828125,100,90.77426417676467,-2.318230628967285,-4.604609489440918,100,64.30392956607909,-2.530404090881348,-3.1189842224121094,100,94.78336406856779,-2.017906188964844,-4.917647361755371,100,93.06481380189848,-2.16680908203125,-4.763497352600098,100,97.8227787855063,-2.100198745727539,-5.905306816101074,100,90.77426417676467,-2.318230628967285,-4.604609489440918,100,64.30392956607909,-2.530404090881348,-3.1189842224121094,100,94.78336406856779,-2.017906188964844,-4.917647361755371,100,93.06481380189848,-2.16680908203125,-4.763497352600098,100,97.8227787855063,-2.100198745727539,-5.905306816101074,-75.7911,-82.655,100,99.8956259397761,-78.1492,-83.1583,100,99.3367375613161,-73.9689,-78.0425,100,98.32686800446481,-79.8093,-84.3954,100,98.99103076762178,-77.1731,-78.2718,100,75.00164455141055
1,1,1,1,HaskellMacDonald_0_PS,PS,Can you ask Brenda if the girls or the boy,are,is,100,97.17591027831354,-2.0301332473754883,-5.568470001220703,100,85.77014233147962,-2.0227270126342773,-3.819055557250977,100,74.07670610707122,-2.357781410217285,-3.407740592956543,100,96.48713517384216,-1.8911724090576167,-5.204150199890137,100,87.82676569883526,-2.237391471862793,-4.213518142700194,100,93.19308492566601,-1.6771821975708008,-4.293916702270509,100,85.77014233147962,-2.0227270126342773,-3.819055557250977,100,74.07670610707122,-2.357781410217285,-3.407740592956543,100,96.48713517384216,-1.8911724090576167,-5.204150199890137,100,87.82676569883526,-2.237391471862793,-4.213518142700194,100,93.19308492566601,-1.6771821975708008,-4.293916702270509,-76.7888,-78.466,100,84.25334088793122,-79.7796,-81.1397,100,79.57759498553396,-74.7712,-76.974,100,90.05006701636663,-77.3493,-83.0134,100,99.65437194968827,-78.4573,-79.9279,100,81.31485659463193
2,2,2,2,HaskellMacDonald_1_SP,SP,Do you know if the tiger or the lions,were,was,100,97.74252600353351,-2.81192684173584,-6.58001708984375,100,92.43490142908115,-3.268498420715332,-5.7714576721191415,100,72.8735672591516,-3.4504432678222656,-4.438660621643066,100,97.01394530510024,-2.825664520263672,-6.30656623840332,100,85.89368858643002,-3.6212968826293945,-5.4277849197387695,100,90.83588702149284,-3.3848180770874023,-5.678577423095702,100,92.43490142908115,-3.268498420715332,-5.7714576721191415,100,72.8735672591516,-3.4504432678222656,-4.438660621643066,100,97.01394530510024,-2.825664520263672,-6.30656623840332,100,85.89368858643002,-3.6212968826293945,-5.4277849197387695,100,90.83588702149284,-3.3848180770874023,-5.678577423095702,-54.6698,-58.1632,100,97.04993947821582,-58.3612,-62.1185,100,97.71859413673471,-53.2118,-55.4659,100,90.50036064094864,-53.7522,-53.1954,0,36.42882007831356,-55.6989,-58.4627,100,94.06880069167818
3,3,3,3,HaskellMacDonald_1_PS,PS,Do you know if the tigers or the lion,were,was,100,93.74465889126057,-3.234844207763672,-5.941983222961426,100,94.92703462299171,-2.605886459350586,-5.535069465637207,100,95.26922948725037,-2.967126846313477,-5.969745635986327,100,96.06242508818157,-2.825456619262696,-6.019889831542969,100,96.55316955918876,-2.864674568176268,-6.19731330871582,100,89.16032858667248,-3.401123046875,-5.508346557617188,100,94.92703462299171,-2.605886459350586,-5.535069465637207,100,95.26922948725037,-2.967126846313477,-5.969745635986327,100,96.06242508818157,-2.8254566192626958,-6.019889831542969,100,96.55316955918876,-2.864674568176269,-6.19731330871582,100,89.16032858667248,-3.401123046875,-5.508346557617188,-60.6755,-62.1153,100,80.84236783822772,-61.2248,-62.2706,100,73.99675686709766,-57.3066,-58.8469,100,82.35083321604246,-56.5273,-59.683,100,95.91327311088439,-58.2335,-60.3091,100,88.85089101695462
4,4,4,4,HaskellMacDonald_2_SP,SP,Do you think the pickle or the olives,are,is,100,98.83153634202436,-1.204030990600586,-5.641757965087893,100,97.64552517016593,-1.118088722229004,-4.843114852905273,100,78.32298815802052,-1.7030906677246094,-2.987679481506348,100,86.47150467682744,-2.2133703231811523,-4.068387031555177,100,87.80307057767936,-1.6201791763305664,-3.594091415405273,100,95.94808083897932,-1.4323081970214844,-4.596924781799316,100,97.64552517016593,-1.1180887222290041,-4.843114852905273,100,78.32298815802052,-1.7030906677246094,-2.987679481506348,100,86.47150467682744,-2.2133703231811523,-4.068387031555177,100,87.80307057767936,-1.6201791763305664,-3.594091415405273,100,95.94808083897931,-1.4323081970214844,-4.596924781799316,-56.7381,-56.2472,0,37.968157358646714,-55.1215,-52.8468,0,9.324008389810063,-58.186,-55.6201,0,7.136554429029432,-58.9061,-55.9238,0,4.823193602709591,-53.3977,-53.2309,0,45.83964140474065
5,5,5,5,HaskellMacDonald_2_PS,PS,Do you think the pickles or the olive,are,is,100,58.3815223857631,-4.460273742675781,-4.798728942871094,100,73.5233233791257,-3.745936393737793,-4.767274856567383,0,39.182833344203615,-4.482211112976074,-4.0425777435302725,100,62.8253068310336,-3.029126167297364,-3.5538558959960938,0,30.71389943469769,-3.840134620666504,-3.0266056060791016,100,73.09777568385726,-2.604232788085937,-3.6038217544555664,100,73.5233233791257,-3.745936393737793,-4.767274856567383,0,39.182833344203615,-4.482211112976074,-4.0425777435302725,100,62.8253068310336,-3.0291261672973637,-3.5538558959960938,0,30.71389943469769,-3.840134620666504,-3.0266056060791016,100,73.09777568385726,-2.604232788085937,-3.6038217544555664,-58.4732,-55.2678,0,3.8963016173451956,-55.5272,-53.2209,0,9.060254002971178,-58.7597,-54.9392,0,2.144679379197866,-54.2974,-55.8042,100,81.85864827334872,-55.2215,-54.8082,0,39.81211076491957
6,6,6,6,HaskellMacDonald_3_SP,SP,Have you heard whether the swimmer or the runners,are,is,100,99.27936072127045,-1.2285404205322266,-6.154094696044923,100,98.48611832476496,-2.0873422622680664,-6.262580871582031,100,72.9545369641173,-3.037948608398437,-4.030265808105469,100,92.10140547499908,-2.771725654602051,-5.227931022644043,100,68.33868832411298,-2.4538631439208984,-3.2232437133789062,100,98.19766103113554,-2.774777412414551,-6.772674560546875,100,98.48611832476496,-2.0873422622680664,-6.262580871582031,100,72.9545369641173,-3.037948608398437,-4.030265808105469,100,92.10140547499908,-2.771725654602051,-5.227931022644043,100,68.33868832411298,-2.4538631439208984,-3.2232437133789062,100,98.19766103113554,-2.774777412414551,-6.772674560546875,-75.2539,-77.4965,100,90.40103121409992,-79.2925,-80.5595,100,78.0228764878107,-78.1221,-80.555,100,91.9301933632263,-79.888,-83.9672,100,98.33605588965517,-75.1468,-74.4916,0,34.181868779409825
7,7,7,7,HaskellMacDonald_3_PS,PS,Have you heard whether the swimmers or the runner,are,is,100,88.68915647608664,-1.662790298461914,-3.7221660614013667,100,87.01845744221045,-2.153827667236328,-4.056419372558594,100,56.546395453521136,-2.96548080444336,-3.2288484573364262,100,78.4413889260845,-3.0439233779907227,-4.3354997634887695,100,64.06160945267038,-2.8947343826293945,-3.472773551940918,100,91.67582347651104,-2.837809562683105,-5.2369041442871085,100,87.01845744221045,-2.153827667236328,-4.056419372558594,100,56.546395453521136,-2.96548080444336,-3.2288484573364262,100,78.4413889260845,-3.0439233779907227,-4.3354997634887695,100,64.06160945267038,-2.8947343826293945,-3.472773551940918,100,91.67582347651104,-2.837809562683105,-5.2369041442871085,-63.4368,-64.9631,100,82.146431492713,-63.8188,-64.3373,100,62.67969493022937,-63.7155,-66.0711,100,91.33783172847998,-60.3984,-65.0509,100,99.05523810370053,-63.4407,-63.8589,100,60.30524455445916
8,8,8,8,HaskellMacDonald_4_SP,SP,How do I know if the stove or the refrigerators,are,is,100,96.17352735928984,-1.2497425079345703,-4.4739532470703125,100,78.89629301075949,-1.6114912033081057,-2.9301767349243164,100,67.14167075855735,-1.5175790786743164,-2.2321786880493164,100,85.99094389479922,-1.3234310150146484,-3.1379690170288086,100,69.25193413208942,-1.49444580078125,-2.3063697814941406,100,80.88220452350156,-1.5218877792358398,-2.964262008666992,100,78.89629301075949,-1.6114912033081057,-2.9301767349243164,100,67.14167075855735,-1.5175790786743164,-2.2321786880493164,100,85.99094389479922,-1.3234310150146484,-3.1379690170288086,100,69.25193413208942,-1.49444580078125,-2.3063697814941406,100,80.88220452350157,-1.5218877792358398,-2.9642620086669917,-67.0088,-69.8228,100,94.34276857934275,-67.8651,-69.5975,100,84.97191491925396,-64.6147,-64.0216,0,35.592388690309626,-68.8976,-67.9309,0,27.553875062049492,-67.5993,-68.1805,100,64.13434795520078
9,9,9,9,HaskellMacDonald_4_PS,PS,How do I know if the stoves or the refrigerator,are,is,100,92.01751964312479,-1.3789596557617188,-3.8236894607543945,100,89.42295413642367,-1.7408809661865234,-3.8755722045898438,100,81.34373426521046,-1.494577407836914,-2.9670791625976562,100,80.78427344854389,-1.3508892059326172,-2.786942481994629,100,62.631168675086535,-1.8830614089965816,-2.399487495422364,100,95.12596626771263,-0.9522104263305664,-3.923490524291992,100,89.42295413642367,-1.7408809661865234,-3.875572204589844,100,81.34373426521046,-1.494577407836914,-2.967079162597656,100,80.78427344854389,-1.3508892059326172,-2.786942481994629,100,62.631168675086535,-1.8830614089965818,-2.3994874954223637,100,95.12596626771263,-0.9522104263305664,-3.9234905242919917,-67.3066,-68.9341,100,83.58268759541112,-67.6176,-68.8407,100,77.26086316872475,-62.9025,-65.6042,100,93.71268825582786,-67.3701,-72.779,100,99.55433885742077,-70.5497,-72.3834,100,86.22019124049497
10,10,10,10,HaskellMacDonald_5_SP,SP,I can't tell whether the nurse or the doctors,are,is,100,99.27774801621729,-1.845796585083008,-6.769099235534668,100,89.5083309966963,-2.287339210510254,-4.431089401245117,100,88.35742866357042,-1.858427047729492,-3.8851490020751953,100,92.603675581435,-2.610539436340332,-5.137885093688965,100,68.48618481784698,-2.457926750183105,-3.2341327667236333,100,96.96997581895391,-2.4564313888549805,-5.922262191772461,100,89.5083309966963,-2.287339210510254,-4.431089401245117,100,88.35742866357042,-1.858427047729492,-3.8851490020751953,100,92.603675581435,-2.610539436340332,-5.137885093688965,100,68.48618481784698,-2.457926750183105,-3.2341327667236333,100,96.96997581895393,-2.4564313888549805,-5.922262191772461,-60.09,-65.4312,100,99.52327167376004,-63.5207,-68.0688,100,98.95236154798872,-64.5114,-68.9293,100,98.8084168608213,-66.6783,-71.7446,100,99.3733804647534,-66.4443,-69.1593,100,93.7905978751694
11,11,11,11,HaskellMacDonald_5_PS,PS,I can't tell whether the nurses or the doctor,are,is,100,98.2711720364906,-1.603313446044922,-5.643600463867188,100,93.41726019200044,-2.462428092956543,-5.115053176879883,100,84.69575955239232,-2.1810522079467773,-3.891987800598145,100,91.59669495427576,-2.658625602722168,-5.047395706176758,100,85.10364137931406,-2.616879463195801,-4.359632492065431,100,83.04049621288931,-2.247805595397949,-3.836305618286133,100,93.41726019200044,-2.462428092956543,-5.115053176879883,100,84.69575955239232,-2.1810522079467773,-3.891987800598145,100,91.59669495427576,-2.658625602722168,-5.047395706176758,100,85.10364137931406,-2.616879463195801,-4.359632492065431,100,83.04049621288931,-2.247805595397949,-3.8363056182861333,-62.9394,-65.7634,100,94.3959044050554,-64.1744,-65.0802,100,71.213994455621,-66.7832,-69.8313,100,95.47004271786604,-66.0537,-69.7672,100,97.61888011132163,-65.1967,-65.2156,100,50.47248593535865
12,12,12,12,HaskellMacDonald_6_SP,SP,Do the directions say if the store or the restaurants,are,is,100,94.82307076990057,-1.0777301788330078,-3.985530853271485,100,79.55940551523993,-1.7340812683105469,-3.093062400817871,100,84.0141304213891,-1.5342178344726562,-3.193497657775879,100,91.46071326298402,-1.0380821228027344,-3.4093141555786133,100,82.40285372790409,-1.18817138671875,-2.732054710388184,100,91.26966255881149,-1.162759780883789,-3.509774208068848,100,79.55940551523993,-1.7340812683105469,-3.093062400817871,100,84.0141304213891,-1.5342178344726562,-3.193497657775879,100,91.46071326298402,-1.0380821228027344,-3.4093141555786133,100,82.40285372790409,-1.18817138671875,-2.732054710388184,100,91.26966255881149,-1.162759780883789,-3.509774208068848,-86.3465,-91.4302,100,99.38412276542145,-85.9693,-88.3124,100,91.23842138839518,-82.331,-85.0972,100,94.08217711699966,-84.758,-84.9461,100,54.68868371376809,-83.6157,-86.3535,100,93.92206304480088
13,13,13,13,HaskellMacDonald_6_PS,PS,Do the directions say if the stores or the restaurant,are,is,100,87.83170992934816,-1.301738739013672,-3.2783279418945312,100,78.74375733603783,-2.3118276596069336,-3.6213760375976562,100,77.23791285783594,-1.7843780517578125,-3.0061721801757812,100,91.78318279985015,-1.1949701309204102,-3.6082162857055664,100,89.81170248558372,-1.1547966003417969,-3.3312721252441406,100,85.39539106682554,-1.2718400955200195,-3.037795066833496,100,78.74375733603783,-2.3118276596069336,-3.621376037597656,100,77.23791285783594,-1.7843780517578125,-3.006172180175781,100,91.78318279985015,-1.1949701309204102,-3.6082162857055664,100,89.81170248558372,-1.1547966003417969,-3.3312721252441406,100,85.39539106682554,-1.2718400955200195,-3.037795066833496,-87.719,-90.9191,100,96.08380402067205,-86.5642,-88.0874,100,82.10092136130956,-82.7873,-85.6263,100,94.47472855748613,-83.8877,-88.8586,100,99.31108870885751,-85.2148,-88.2143,100,95.25515333804408
14,14,14,14,HaskellMacDonald_7_SP,SP,We need to know if the necklace or the rings,were,was,100,93.96310434779123,-3.3532371520996094,-6.098249435424805,100,67.11462918116986,-3.5747709274291988,-4.288145065307616,100,88.03842273327233,-3.0490665435791016,-5.045140266418457,100,71.69453108830544,-3.370512008666992,-4.299871444702148,100,92.80309220021908,-3.4076719284057617,-5.964500427246094,100,94.25059460319862,-3.1487941741943364,-5.94565486907959,100,67.11462918116986,-3.5747709274291988,-4.288145065307616,100,88.03842273327233,-3.0490665435791016,-5.045140266418457,100,71.69453108830544,-3.3705120086669917,-4.2998714447021475,100,92.80309220021908,-3.4076719284057617,-5.964500427246094,100,94.25059460319862,-3.1487941741943364,-5.94565486907959,-74.0437,-79.6779,100,99.64391897617962,-81.4697,-83.5407,100,88.80524153509934,-84.032,-85.1258,100,74.90966107756952,-81.8399,-76.3561,0,0.413633597060322,-80.0338,-81.645,100,83.35779239908183
15,15,15,15,HaskellMacDonald_7_PS,PS,We need to know if the necklaces or the ring,were,was,100,91.3786428643548,-2.989051818847656,-5.349821090698242,100,89.33793730809315,-3.864124298095703,-5.989858627319336,100,78.7736717649043,-3.1527767181396484,-4.464113235473633,100,87.984376927643,-3.750045776367188,-5.740997314453125,100,93.56372598953814,-2.9753599166870117,-5.652052879333496,100,96.3559781779988,-3.234749794006348,-6.509711265563965,100,89.33793730809315,-3.864124298095703,-5.989858627319336,100,78.7736717649043,-3.1527767181396484,-4.464113235473633,100,87.984376927643,-3.750045776367188,-5.740997314453125,100,93.56372598953814,-2.975359916687012,-5.652052879333496,100,96.35597817799878,-3.234749794006348,-6.509711265563965,-78.8074,-81.8032,100,95.23840237809931,-76.6705,-79.4696,100,94.26271704171013,-80.3607,-82.9771,100,93.19096266369026,-76.6658,-79.6623,100,95.24157578170434,-77.9343,-80.5982,100,93.48625584943888
